Company Name,Industry,Symbol,Series,ISIN Code
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
,,LICI,,
,,PNB,,
,,SRF,,
,,ZOMATO,,
,,NAUKRI,,
,,TATAPOWER,,
,,AMBUJACEM,,
,,JINDALSTEL,,
,,SIEMENS,,
,,TORNTPHARM,,
,,PIIND,,
,,SHREECEM,,
,,COLPAL,,
,,DLF,,
,,ICICIPRULI,,
,,ZYDUSLIFE,,
,,IRCTC,,
,,TRENT,,
,,MARICO,,
,,VEDL,,
,,BANKBARODA,,
,,CANBK,,
,,BERGEPAINT,,
,,IOC,,
,,ADANIENSOL,,
,,ADANIGREEN,,
,,TVSMOTOR,,
,,INDIGO,,
,,BOSCHLTD,,
,,ATGL,,
,,MOTHERSON,,
,,AWL,,
,,BAJAJHLDNG,,
,,ICICIGI,,
,,PGHH,,
,,DABUR,,
,,HAVELLS,,
,,MUTHOOTFIN,,
,,MCDOWELL-N,,
,,DMART,,
,,GAIL,,
,,PIDILITIND,,
,,SBICARD,,
,,HAL,,
,,BEL,,
,,VBL,,
,,GODREJCP,,
,,SHRIRAMFIN,,
,,ABB,,
,,CHOLAFIN,,
,,BCG,,
,,GODFRYPHLP,,
,,POLICYBZR,,
,,IFCI,,
,,PTCIL,,
,,IMFA,,
,,SHILPAMED,,
,,UCOBANK,,
,,MOL,,
,,ASTRAZEN,,
,,RATNAMANI,,
,,KPITTECH,,
,,VTL,,
,,USHAMART,,
,,KSCL,,
,,CLEAN,,
,,APLLTD,,
,,FUSION,,
,,VOLTAS,,
,,AVANTIFEED,,
,,AETHER,,
,,AIAENG,,
,,PRSMJOHNSN,,
,,HEMIPROP,,
,,ZENTEC,,
,,KEC,,
,,GRAVITA,,
,,UTIAMC,,
,,GANESHHOUC,,
,,ACE,,
,,BAYERCROP,,
,,ALKYLAMINE,,
,,ISEC,,
,,PAISALO,,
,,CAMS,,
,,NSLNISP,,
,,BORORENEW,,
,,DEVYANI,,
,,RUPA,,
,,WOCKPHARMA,,
,,DELHIVERY,,
,,TRIVENI,,
,,SYNGENE,,
,,POWERINDIA,,
,,SBCL,,
,,TORNTPOWER,,
,,AARTIPHARM,,
,,KIRLOSENG,,
,,TIDEWATER,,
,,ADVENZYMES,,
,,GATEWAY,,
,,THERMAX,,
,,BALAMINES,,
,,SCI,,
,,APARINDS,,
,,CHALET,,
,,ARE&M,,
,,AJANTPHARM,,
,,GUJGASLTD,,
,,COCHINSHIP,,
,,AVALON,,
,,M&MFIN,,
,,ANGELONE,,
,,PNBHOUSING,,
,,ARVINDFASN,,
,,ENDURANCE,,
,,SAFARI,,
,,INFIBEAM,,
,,CHEMPLASTS,,
,,GSPL,,
,,DODLA,,
,,APTUS,,
,,KPIL,,
,,ATUL,,
,,MEDANTA,,
,,PPLPHARMA,,
,,MAYURUNIQ,,
,,NAVNETEDUL,,
,,PDSL,,
,,BOMDYEING,,
,,FINPIPE,,
,,L&TFH,,
,,ASTRAMICRO,,
,,NH,,
,,TCI,,
,,FINEORG,,
,,DEEPAKNTR,,
,,SUZLON,,
,,ANURAS,,
,,ESABINDIA,,
,,STARHEALTH,,
,,IRFC,,
,,TDPOWERSYS,,
,,KPRMILL,,
,,INGERRAND,,
,,JKLAKSHMI,,
,,TVSHLTD,,
,,KIMS,,
,,CREDITACC,,
,,TEAMLEASE,,
,,NEOGEN,,
,,AGI,,
,,RAMCOCEM,,
,,WONDERLA,,
,,TI,,
,,TCIEXP,,
,,SAPPHIRE,,
,,GOCOLORS,,
,,RAMKY,,
,,NAM-INDIA,,
,,TIMETECHNO,,
,,MANINFRA,,
,,LLOYDSENGG,,
,,SARDAEN,,
,,FINOPB,,
,,SONATSOFTW,,
,,IBULHSGFIN,,
,,EPL,,
,,SUMICHEM,,
,,GRINFRA,,
,,BRIGADE,,
,,METROPOLIS,,
,,GLAXO,,
,,HCC,,
,,SFL,,
,,CENTRALBK,,
,,KARURVYSYA,,
,,GPIL,,
,,IFBIND,,
,,ALLCARGO,,
,,TRITURBINE,,
,,CARBORUNIV,,
,,BEML,,
,,PARADEEP,,
,,GREENLAM,,
,,LAXMIMACH,,
,,KSB,,
,,RATEGAIN,,
,,KAJARIACER,,
,,POLYPLEX,,
,,JISLJALEQS,,
,,JMFINANCIL,,
,,HAPPSTMNDS,,
,,DCAL,,
,,KEI,,
,,RELIGARE,,
,,BAJAJCON,,
,,VMART,,
,,CASTROLIND,,
,,MASTEK,,
,,AFFLE,,
,,JSWENERGY,,
,,INTELLECT,,
,,LEMONTREE,,
,,KALYANKJIL,,
,,OLECTRA,,
,,WELSPUNLIV,,
,,VOLTAMP,,
,,ABBOTINDIA,,
,,SHANTIGEAR,,
,,ECLERX,,
,,IOB,,
,,BIRLACORPN,,
,,J&KBANK,,
,,RELAXO,,
,,NESCO,,
,,AUTOAXLES,,
,,EXIDEIND,,
,,GPPL,,
,,HINDWAREAP,,
,,MAHABANK,,
,,INDOCO,,
,,AARTIIND,,
,,TATACHEM,,
,,GLAND,,
,,LAURUSLABS,,
,,GLENMARK,,
,,DBREALTY,,
,,IDFCFIRSTB,,
,,3MINDIA,,
,,GREENPLY,,
,,RADICO,,
,,CSBBANK,,
,,CONCOR,,
,,STYRENIX,,
,,HIKAL,,
,,FDC,,
,,HDFCAMC,,
,,BHARATFORG,,
,,MGL,,
,,SULA,,
,,SJVN,,
,,SOMANYCERA,,
,,IDFC,,
,,CAMPUS,,
,,FEDERALBNK,,
,,ICIL,,
,,SHOPERSTOP,,
,,REDINGTON,,
,,GREENPANEL,,
,,CARYSIL,,
,,KANSAINER,,
,,TEGA,,
,,CANFINHOME,,
,,DREAMFOLKS,,
,,WELENT,,
,,GLS,,
,,MAHLIFE,,
,,JBCHEPHARM,,
,,ACC,,
,,NATIONALUM,,
,,FLUOROCHEM,,
,,WHIRLPOOL,,
,,MMTC,,
,,GABRIEL,,
,,EPIGRAL,,
,,GRSE,,
,,NFL,,
,,SBFC,,
,,TEJASNET,,
,,BSE,,
,,RVNL,,
,,BIKAJI,,
,,APOLLOTYRE,,
,,RAJESHEXPO,,
,,FACT,,
,,BANDHANBNK,,
,,INDIANB,,
,,PRUDENT,,
,,ALKEM,,
,,ABFRL,,
,,MHRIL,,
,,DOLLAR,,
,,MARKSANS,,
,,SOUTHBANK,,
,,GMMPFAUDLR,,
,,JWL,,
,,FORTIS,,
,,JYOTHYLAB,,
,,EMIL,,
,,ROSSARI,,
,,HIL,,
,,FCL,,
,,NHPC,,
,,STLTECH,,
,,LTTS,,
,,JPPOWER,,
,,RITES,,
,,EIHOTEL,,
,,RAILTEL,,
,,GARFIBRES,,
,,GAEL,,
,,JUBLPHARMA,,
,,GALAXYSURF,,
,,M&M,,
,,RCF,,
,,CHAMBLFERT,,
,,ORIENTCEM,,
,,STARCEMENT,,
,,TATVA,,
,,TANLA,,
,,SAIL,,
,,VIJAYA,,
,,QUESS,,
,,BIOCON,,
,,ETHOSLTD,,
,,SYMPHONY,,
,,NIACL,,
,,WESTLIFE,,
,,TCNSBRANDS,,
,,PARAS,,
,,NAZARA,,
,,SPLPETRO,,
,,KIRLPNU,,
,,LODHA,,
,,CUB,,
,,IDBI,,
,,GHCL,,
,,INOXWIND,,
,,TTML,,
,,LAOPALA,,
,,RKFORGE,,
,,SHAREINDIA,,
,,NEULANDLAB,,
,,SONACOMS,,
,,GRAPHITE,,
,,ACCELYA,,
,,SKFINDIA,,
,,CRISIL,,
,,GILLETTE,,
,,CIEINDIA,,
,,HNDFDS,,
,,MOLDTKPAC,,
,,ELGIEQUIP,,
,,INDIAGLYCO,,
,,BAJAJHIND,,
,,IPCALAB,,
,,SANOFI,,
,,HINDCOPPER,,
,,LUPIN,,
,,CROMPTON,,
,,VARROC,,
,,IGL,,
,,LICHSGFIN,,
,,LTFOODS,,
,,HEG,,
,,YESBANK,,
,,RHIM,,
,,TIMKEN,,
,,NAVINFLUOR,,
,,DELTACORP,,
,,SANSERA,,
,,KFINTECH,,
,,RBLBANK,,
,,OPTIEMUS,,
,,GNFC,,
,,PRESTIGE,,
,,AARTIDRUGS,,
,,DBCORP,,
,,SOLARINDS,,
,,RENUKA,,
,,ACLGATI,,
,,DALMIASUG,,
,,TMB,,
,,ASTERDM,,
,,GICRE,,
,,BARBEQUE,,
,,ZENSARTECH,,
,,SUNDRMFAST,,
,,TATAMTRDVR,,
,,RALLIS,,
,,CONCORDBIO,,
,,NUVOCO,,
,,VINATIORGA,,
,,MOTILALOFS,,
,,CENTURYPLY,,
,,GRANULES,,
,,VSTTILLERS,,
,,ELECTCAST,,
,,JAMNAAUTO,,
,,IEX,,
,,SEQUENT,,
,,AUBANK,,
,,DHANI,,
,,HFCL,,
,,CHOLAHLDNG,,
,,MRF,,
,,HOMEFIRST,,
,,SCHNEIDER,,
,,NETWORK18,,
,,COROMANDEL,,
,,SSWL,,
,,VRLLOG,,
,,KRBL,,
,,SUBEXLTD,,
,,PEL,,
,,HCG,,
,,SUNTV,,
,,HGS,,
,,COFORGE,,
,,ABCAPITAL,,
,,ANANDRATHI,,
,,ZYDUSWELL,,
,,NOCIL,,
,,IOLCP,,
,,KNRCON,,
,,HGINFRA,,
,,CAMLINFINE,,
,,RAYMOND,,
,,IIFL,,
,,UFLEX,,
,,VENKEYS,,
,,DCMSHRIRAM,,
,,CMSINFO,,
,,PRICOLLTD,,
,,JKCEMENT,,
,,MINDACORP,,
,,EVEREADY,,
,,UNICHEMLAB,,
,,SUNDARMFIN,,
,,NLCINDIA,,
,,INDIACEM,,
,,ASHOKA,,
,,AEGISCHEM,,
,,TIIL,,
,,PATANJALI,,
,,NRBBEARING,,
,,ACI,,
,,UNOMINDA,,
,,BBTC,,
,,HBLPOWER,,
,,DALBHARAT,,
,,JBMA,,
,,SWANENERGY,,
,,RAJRATAN,,
,,AHLUCONT,,
,,NCC,,
,,360ONE,,
,,JKTYRE,,
,,TATAMETALI,,
,,JKIL,,
,,RBA,,
,,LALPATHLAB,,
,,SIYSIL,,
,,HUDCO,,
,,JSL,,
,,HEIDELBERG,,
,,CENTURYTEX,,
,,HATHWAY,,
,,HARSHA,,
,,GMDCLTD,,
,,OBEROIRLTY,,
,,ITI,,
,,BECTORFOOD,,
,,DCBBANK,,
,,SHARDACROP,,
,,GODREJAGRO,,
,,FIVESTAR,,
,,CARTRADE,,
,,GRINDWELL,,
,,SUDARSCHEM,,
,,TATACOMM,,
,,AMIORG,,
,,FINCABLES,,
,,NATCOPHARM,,
,,TECHNOE,,
,,UBL,,
,,DATAMATICS,,
,,PRIVISCL,,
,,KIRLOSBROS,,
,,MTARTECH,,
,,CEATLTD,,
,,JUBLINGREA,,
,,CERA,,
,,JTLIND,,
,,KTKBANK,,
,,MSUMI,,
,,DWARKESH,,
,,GUJALKALI,,
,,BLUESTARCO,,
,,APCOTEXIND,,
,,BATAINDIA,,
,,ZFCVINDIA,,
,,BSOFT,,
,,ROUTE,,
,,ISGEC,,
,,TATAELXSI,,
,,CIGNITITEC,,
,,JUSTDIAL,,
,,UNIPARTS,,
,,EMAMILTD,,
,,VGUARD,,
,,PAYTM,,
,,MAPMYINDIA,,
,,ASAHIINDIA,,
,,JUBLFOOD,,
,,COSMOFIRST,,
,,DBL,,
,,HLEGLAS,,
,,ASHOKLEY,,
,,SUPRAJIT,,
,,TTKPRESTIG,,
,,LINDEINDIA,,
,,MEDPLUS,,
,,IONEXCHANG,,
,,AMBER,,
,,MOIL,,
,,OFSS,,
,,NAVA,,
,,MCX,,
,,MIDHANI,,
,,BALMLAWRIE,,
,,PGHL,,
,,PRINCEPIPE,,
,,MAZDOCK,,
,,JINDWORLD,,
,,BALRAMCHIN,,
,,LXCHEM,,
,,FSL,,
,,PFIZER,,
,,POONAWALLA,,
,,CGCL,,
,,KRSNAA,,
,,GODREJPROP,,
,,VESUVIUS,,
,,BDL,,
,,CAPLIPOINT,,
,,ROLEXRINGS,,
,,POLYMED,,
,,GREAVESCOT,,
,,JTEKTINDIA,,
,,SCHAEFFLER,,
,,GLOBUSSPR,,
,,DEEPAKFERT,,
,,POLYCAB,,
,,RECLTD,,
,,LUXIND,,
,,ITDCEM,,
,,SYRMA,,
,,BLUEDART,,
,,PAGEIND,,
,,NMDC,,
,,MAHSEAMLES,,
,,ORIENTELEC,,
,,RELINFRA,,
,,EMUDHRA,,
,,RAINBOW,,
,,UJJIVANSFB,,
,,AUROPHARMA,,
,,JCHAC,,
,,EASEMYTRIP,,
,,JAICORPLTD,,
,,BANKINDIA,,
,,APOLLOPIPE,,
,,SUNFLAG,,
,,GODREJIND,,
,,CCL,,
,,CESC,,
,,KIRIINDUS,,
,,TVSSCS,,
,,CDSL,,
,,IKIO,,
,,LANDMARK,,
,,POWERMECH,,
,,DIXON,,
,,HERITGFOOD,,
,,CHOICEIN,,
,,MAITHANALL,,
,,ERIS,,
,,HINDZINC,,
,,KKCL,,
,,PVRINOX,,
,,JKPAPER,,
,,CONFIPET,,
,,TIRUMALCHM,,
,,ESCORTS,,
,,MAHLOG,,
,,PTC,,
,,HONAUT,,
,,FIEMIND,,
,,SUPRIYA,,
,,EQUITASBNK,,
,,GUFICBIO,,
,,LGBBROSLTD,,
,,EIDPARRY,,
,,INDIAMART,,
,,PERSISTENT,,
,,BEPL,,
,,MASFIN,,
,,IRCON,,
,,KOLTEPATIL,,
,,DCXINDIA,,
,,IBREALEST,,
,,SUNTECK,,
,,GESHIP,,
,,JINDALPOLY,,
,,TITAGARH,,
,,MAXHEALTH,,
,,SOBHA,,
,,NYKAA,,
,,SPARC,,
,,INDIGOPNTS,,
,,MANAPPURAM,,
,,ENGINERSIN,,
,,BALKRISIND,,
,,EDELWEISS,,
,,BLS,,
,,AAVAS,,
,,ZEEL,,
,,ANANTRAJ,,
,,DIVGIITTS,,
,,IDEA,,
,,MPHASIS,,
,,STAR,,
,,PRAJIND,,
,,UNIONBANK,,
,,SURYAROSNI,,
,,NBCC,,
,,RTNINDIA,,
,,JINDALSAW,,
,,DEN,,
,,CGPOWER,,
,,HINDOILEXP,,
,,INDHOTEL,,
,,MANKIND,,
,,WSTCSTPAPR,,
,,TIPSINDLTD,,
,,ASTEC,,
,,BHEL,,
,,MFSL,,
,,CUMMINSIND,,
,,SAREGAMA,,
,,KAYNES,,
,,WELCORP,,
,,GOKEX,,
,,LATENTVIEW,,
,,PETRONET,,
,,PSPPROJECT,,
,,SPANDANA,,
,,CHENNPETRO,,
,,PFC,,
,,RESPONIND,,
,,STYLAMIND,,
,,GSFC,,
,,DISHTV,,
,,ALOKINDS,,
,,PGEL,,
,,THYROCARE,,
,,RPOWER,,
,,RTNPOWER,,
,,ARVIND,,
,,WABAG,,
,,UJJIVAN,,
,,SUVENPHAR,,
,,OIL,,
,,CARERATING,,
,,GMRINFRA,,
,,APLAPOLLO,,
,,MRPL,,
,,TIINDIA,,
,,TRIDENT,,
,,ELECON,,
,,PNCINFRA,,
,,HINDPETRO,,
,,RAIN,,
,,SUPREMEIND,,
,,TV18BRDCST,,
,,TARSONS,,
,,PHOENIXLTD,,
,,PCBL,,
,,SHYAMMETL,,
,,INDUSTOWER,,
,,SWSOLAR,,
,,CRAFTSMAN,,
,,MSTCLTD,,
,,ASTRAL,,
,,METROBRAND,,
,,SIS,,
,,CYIENT,,
,,IRB,,
,,DATAPATTNS,,
,,TATAINVEST,,
,,VIPIND,,
,,VAIBHAVGBL,,
,,MANYAVAR,,
,,JPASSOCIAT,,
,,THOMASCOOK,,
