Ticker,Description,Sector,Industry,Exchange
LTIM,LTIMINDTREE LTD,Commercial Services,Miscellaneous Commercial Services,NSE
GLOBAL,GLOBAL EDUCATION LTD,Commercial Services,Miscellaneous Commercial Services,NSE
VERANDA,VERANDA LEARNING SOL LTD,Commercial Services,Miscellaneous Commercial Services,NSE
AGRITECH,AGRI-TECH (INDIA),Commercial Services,Miscellaneous Commercial Services,NSE
RITES,RITES LTD,Commercial Services,Miscellaneous Commercial Services,NSE
FSL,FIRSTSOURCE SOLUTI,Commercial Services,Miscellaneous Commercial Services,NSE
SIS,SIS LTD,Commercial Services,Miscellaneous Commercial Services,NSE
SYNGENE,SYNGENE INTERNATIO,Commercial Services,Miscellaneous Commercial Services,NSE
RADIANTCMS,RADIANT CASH MGMT SER LTD,Commercial Services,Miscellaneous Commercial Services,NSE
CAREERP,CAREER POINT LTD,Commercial Services,Miscellaneous Commercial Services,NSE
ARSHIYA,ARSHIYA LTD,Commercial Services,Miscellaneous Commercial Services,NSE
ARIHANTACA,ARIHANT ACADEMY LTD,Commercial Services,Miscellaneous Commercial Services,NSE
SPCENET,SPACENET ENTERPRIS,Commercial Services,Advertising/Marketing Services,NSE
DUGLOBAL,DUDIGITAL GLOBAL LTD,Commercial Services,Miscellaneous Commercial Services,NSE
REPRO,REPRO INDIA LTD,Commercial Services,Commercial Printing/Forms,NSE
KAPSTON,KAPSTON FACILITIES MGMT L,Commercial Services,Miscellaneous Commercial Services,NSE
VIMTALABS,VIMTA LABORATORIES,Commercial Services,Miscellaneous Commercial Services,NSE
PRESSMN,PRESSMAN ADVERTISI,Commercial Services,Advertising/Marketing Services,NSE
MAPMYINDIA,C.E. INFO SYSTEMS LTD,Commercial Services,Miscellaneous Commercial Services,NSE
ICRA,ICRA LTD,Commercial Services,Financial Publishing/Services,NSE
VERTOZ,VERTOZ ADVERTISING LTD,Commercial Services,Advertising/Marketing Services,NSE
AGSTRA,AGS TRANSACT TECH LTD,Commercial Services,Miscellaneous Commercial Services,NSE
TEAMLEASE,TEAMLEASE SERVICES,Commercial Services,Personnel Services,NSE
SUVIDHAA,SUVIDHAA INFOSERVE LTD,Commercial Services,Miscellaneous Commercial Services,NSE
AISL,ANI INTEGRATED SER,Commercial Services,Personnel Services,NSE
RTNINDIA,RATTANINDIA ENT LTD,Commercial Services,Miscellaneous Commercial Services,NSE
NOIDATOLL,NOIDA TOLL BRIDGE,Commercial Services,Advertising/Marketing Services,NSE
KHFM,KHFM H AND F MGT S,Commercial Services,Miscellaneous Commercial Services,NSE
4THDIM,FOURTH DIMENSION SOL L,Commercial Services,Miscellaneous Commercial Services,NSE
INFIBEAM,INFIBEAM AVENUES L,Commercial Services,Miscellaneous Commercial Services,NSE
ONEPOINT,ONE POINT ONE SOLU,Commercial Services,Miscellaneous Commercial Services,NSE
SMARTFIN,SMART FINSEC LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
DYNAMIC,DYNAMIC SERVICES &,Commercial Services,Miscellaneous Commercial Services,NSE
NIITLTD,NIIT,Commercial Services,Miscellaneous Commercial Services,NSE
ANTGRAPHIC,ANTARCTICA LTD,Commercial Services,Commercial Printing/Forms,NSE
APTECHT,APTECH LTD,Commercial Services,Miscellaneous Commercial Services,NSE
QUESS,QUESS CORP LTD,Commercial Services,Personnel Services,NSE
CYIENT,CYIENT LTD,Commercial Services,Miscellaneous Commercial Services,NSE
VERTEXPLUS.ST,VERTEXPLUS TECHNOLOGIES L,Commercial Services,Miscellaneous Commercial Services,NSE
EDUCOMP,EDUCOMP SOLUTIONS,Commercial Services,Miscellaneous Commercial Services,NSE
AXISCADES,AXISCADES TECHNOLO,Commercial Services,Miscellaneous Commercial Services,NSE
KEEPLEARN,DSJ KEEP LEARNING,Commercial Services,Commercial Printing/Forms,NSE
QUADPRO,QUADPRO ITES LTD,Commercial Services,Miscellaneous Commercial Services,NSE
CHOICEIN,CHOICE INTERNATIONAL LTD,Commercial Services,Miscellaneous Commercial Services,NSE
CLEDUCATE,CL EDUCATE LTD,Commercial Services,Miscellaneous Commercial Services,NSE
ECLERX,ECLERX SERVICES,Commercial Services,Miscellaneous Commercial Services,NSE
FCSSOFT,FCS SOFTWARE SOLUT,Commercial Services,Miscellaneous Commercial Services,NSE
TCPLPACK,TCPL PACKAGING LTD,Commercial Services,Commercial Printing/Forms,NSE
TOUCHWOOD,TOUCHWOOD ENTERTAI,Commercial Services,Miscellaneous Commercial Services,NSE
NBCC,NBCC (INDIA) LTD,Commercial Services,Miscellaneous Commercial Services,NSE
EXCEL,EXCEL REALTY N INF,Commercial Services,Miscellaneous Commercial Services,NSE
KANDARP,KANDARP DIGI SMART,Commercial Services,Miscellaneous Commercial Services,NSE
SECURCRED,SECUR CREDENTIALS LTD,Commercial Services,Financial Publishing/Services,NSE
DJML,DJ MEDIAPRINT & LOG LTD,Commercial Services,Commercial Printing/Forms,NSE
MITCON,MITCON CON,Commercial Services,Miscellaneous Commercial Services,NSE
CARERATING,CARE RATINGS LTD,Commercial Services,Financial Publishing/Services,NSE
ADROITINFO,ADROIT INFOTECH LTD,Commercial Services,Miscellaneous Commercial Services,NSE
RMCL,RADHA MADHAV CORP,Commercial Services,Miscellaneous Commercial Services,NSE
ADL,ARCHIDPLY DECOR LIMTED,Commercial Services,Miscellaneous Commercial Services,NSE
HGS,HINDUJA GLOBAL SOL,Commercial Services,Miscellaneous Commercial Services,NSE
WEWIN,WE WIN LTD,Commercial Services,Miscellaneous Commercial Services,NSE
IPSL,INTEGRATED PERSONN,Commercial Services,Personnel Services,NSE
DGCONTENT,DIGICONTENT LTD,Commercial Services,Commercial Printing/Forms,NSE
AARVI,AARVI ENCON LTD,Commercial Services,Personnel Services,NSE
SNOWMAN,SNOWMAN LOGISTICS,Commercial Services,Miscellaneous Commercial Services,NSE
ALLSEC,ALLSEC TECHNOLOGIE,Commercial Services,Miscellaneous Commercial Services,NSE
LATENTVIEW,LATENT VIEW ANALYTICS LTD,Commercial Services,Miscellaneous Commercial Services,NSE
BNRUDY,BNR UDYOG LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
SUPRAP,SUPRA PACIFIC MANAGEMENT CONSU,Commercial Services,Miscellaneous Commercial Services,BSE
ESHAMEDIA,ESHA MEDIA RESEARCH LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
NETLINK,NETLINK SOLUTIONS (INDIA) LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
SHANGAR,SHANGAR DECOR LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
MAJESAUT,MAJESTIC AUTO LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
KINETRU,KINETIC TRUST LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
VISVEN,VISHVPRABHA VENTURES LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
CASPIAN,CASPIAN CORPORATE SERVICES LIM,Commercial Services,Miscellaneous Commercial Services,BSE
DAPS,DAPS ADVERTISING LIMITED,Commercial Services,Advertising/Marketing Services,BSE
BODHTREE,BODHTREE CONSULTING LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
JAYKAY,JAYKAY ENTERPRISES LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
GGPL,GALA GLOBAL PRODUCTS LIMITED,Commercial Services,Commercial Printing/Forms,BSE
ALPHALOGIC,ALPHALOGIC TECHSYS LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
KIRANPR,KIRAN PRINT-PACK LTD.,Commercial Services,Commercial Printing/Forms,BSE
CHOKSILA,CHOKSI LABORATORIES LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
AMBITION,AMBITION MICA LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
CIL,CITIZEN INFOLINE LTD.,Commercial Services,Advertising/Marketing Services,BSE
PREMCAP,PREMIER CAPITAL SERVICES LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
SHARIKA,SHARIKA ENTERPRISES LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
LIBORDFIN,LIBORD FINANCE LTD,Commercial Services,Miscellaneous Commercial Services,BSE
SEIL,SHANTI EDUCATIONAL INITIATIVES,Commercial Services,Miscellaneous Commercial Services,BSE
POBS,PLATINUMONE BUSINESS SERVICES,Commercial Services,Miscellaneous Commercial Services,BSE
VKAL,VANTAGE KNOWLEDGE ACADEMY LIMI,Commercial Services,Miscellaneous Commercial Services,BSE
UNICK,UNICK FIX-A- FORM AND PRINTERS,Commercial Services,Miscellaneous Commercial Services,BSE
SUGALDAM,SUGAL & DAMANI SHARE BROKERS L,Commercial Services,Miscellaneous Commercial Services,BSE
MADHUVEER,MADHUVEER COM 18 NETWORK LIMIT,Commercial Services,Miscellaneous Commercial Services,BSE
ATHARVENT,ATHARV ENTERPRISES LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
MAAGHADV,MAAGH ADVERTISING AND MARKETIN,Commercial Services,Advertising/Marketing Services,BSE
PRISMX,PRISMX GLOBAL VENTURES LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
ISTRNETWK,ISTREET NETWORK LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
PROCLB,PRO CLB GLOBAL LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
BRANDBUCKT,BRANDBUCKET MEDIA & TECHNOLOGY,Commercial Services,Advertising/Marketing Services,BSE
KACL,KAISER CORPORATION LIMITED,Commercial Services,Commercial Printing/Forms,BSE
MASL,MAX ALERT SYSTEMS LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
CAPRO,CAPROLACTAM CHEMICALS LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
DECOMIC,DECO-MICA LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
PROMAX,PROMAX POWER LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
NAVODAYENT,NAVODAY ENTERPRISES LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
ASTAR,ASIAN STAR CO.LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
GLCL,GLOBE COMMERCIALS LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
SPS,SPS FINQUEST LTD,Commercial Services,Miscellaneous Commercial Services,BSE
WALCHPF,WALCHAND PEOPLEFIRST LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
RAJSPTR,RAJASTHAN PETRO SYNTHETICS LTD,Commercial Services,Miscellaneous Commercial Services,BSE
RAMASIGNS,RAMASIGNS INDUSTRIES LIMITED,Commercial Services,Commercial Printing/Forms,BSE
MPILCORPL,MPIL CORPORATION LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
PADAMCO,PADAM COTTON YARNS LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
SVS,SVS VENTURES LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
SHIVA,SHIVANSH FINSERV LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
AMALGAM,AMALGAMATED ELECTRICITY CO.LTD,Commercial Services,Miscellaneous Commercial Services,BSE
SBECSYS,SBEC SYSTEMS (INDIA) LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
ITCONS,ITCONS E-SOLUTIONS LIMITED,Commercial Services,Personnel Services,BSE
JTAPARIA,J. TAPARIA PROJECTS LTD,Commercial Services,Miscellaneous Commercial Services,BSE
SUJALA,SUJALA TRADING & HOLDING LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
ASHRAM,ASHRAM ONLINE.COM LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
SUUMAYA,SUUMAYA CORPORATION LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
GRADIENTE,GRADIENTE INFOTAINMENT LTD.,Commercial Services,Advertising/Marketing Services,BSE
TRESCON,TRESCON LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
MADHUSE,MADHUSUDAN SECURITIES LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
TATACOMM,TATA COMMUNICATION,Communications,Major Telecommunications,NSE
AIRTELPP.E1,BHARTI RS. 1.25 PPD UP,Communications,Wireless Telecommunications,NSE
DISHTV,DISH TV INDIA LTD,Communications,Specialty Telecommunications,NSE
UNIINFO,UNIINFO TELECOM SERVI LTD,Communications,Specialty Telecommunications,NSE
RAILTEL,RAILTEL CORP OF IND LTD,Communications,Major Telecommunications,NSE
RCOM,RELIANCE COMM LTD,Communications,Major Telecommunications,NSE
TTML,TATA TELESERVICES,Communications,Specialty Telecommunications,NSE
MTNL,MAHANAGAR TELEP NI,Communications,Major Telecommunications,NSE
ITI,ITI LIMITED,Communications,Major Telecommunications,NSE
GTPL,GTPL HATHWAY LTD,Communications,Specialty Telecommunications,NSE
ROUTE,ROUTE MOBILE LTD,Communications,Major Telecommunications,NSE
ONMOBILE,ONMOBILE GLOBAL LTD,Communications,Specialty Telecommunications,NSE
CLOUD,VARANIUM CLOUD LIM,Communications,Specialty Telecommunications,NSE
WINPRO,WINPRO INDUSTRIES LTD,Communications,Specialty Telecommunications,NSE
BHARTIARTL,BHARTI AIRTEL LTD,Communications,Wireless Telecommunications,NSE
IDEA,VODAFONE IDEA LTD,Communications,Wireless Telecommunications,NSE
HATHWAYB,HATHWAY BHAWANI CABLETEL & DAT,Communications,Major Telecommunications,BSE
CITYONLINE,CITY ONLINE SERVICES LIMITED,Communications,Major Telecommunications,BSE
STML,STEELMAN TELECOM LIMITED,Communications,Specialty Telecommunications,BSE
NETTLINX,NETTLINX LTD.,Communications,Major Telecommunications,BSE
QUADRANT,QUADRANT TELEVENTURES LIMITED,Communications,Major Telecommunications,BSE
HINDMOTORS,HINDUSTAN MOTORS,Consumer Durables,Motor Vehicles,NSE
BINANIIND,BINANI INDUSTRIES,Consumer Durables,Home Furnishings,NSE
FOCE,FOCE INDIA LTD,Consumer Durables,Other Consumer Specialties,NSE
PRITI,PRITI INTERNATIONAL LTD,Consumer Durables,Home Furnishings,NSE
MOKSH,MOKSH ORNAMENTS LTD,Consumer Durables,Other Consumer Specialties,NSE
VIPIND,VIP INDUSTRIES,Consumer Durables,Other Consumer Specialties,NSE
JTEKTINDIA,JTEKT INDIA LTD,Consumer Durables,Automotive Aftermarket,NSE
CERA,CERA SANITARYWARE,Consumer Durables,Home Furnishings,NSE
LAOPALA,LA-OPALA RG LTD,Consumer Durables,Home Furnishings,NSE
KDDL,KDDL LTD,Consumer Durables,Other Consumer Specialties,NSE
TATAMOTORS,TATA MOTORS LTD.,Consumer Durables,Motor Vehicles,NSE
GOLDIAM,GOLDIAM INTERNATL,Consumer Durables,Other Consumer Specialties,NSE
NILASPACES,NILA SPACES LTD,Consumer Durables,Homebuilding,NSE
M_M,MAHINDRA &MAHINDRA,Consumer Durables,Motor Vehicles,NSE
TVSSRICHAK,TVS SRICHAKRA LTD,Consumer Durables,Automotive Aftermarket,NSE
GOODYEAR,GOODYEAR(INDIA),Consumer Durables,Automotive Aftermarket,NSE
PULZ,PULZ ELECTRONICS,Consumer Durables,Electronics/Appliances,NSE
THANGAMAYL,THANGAMAYIL JEWELL,Consumer Durables,Other Consumer Specialties,NSE
CEATLTD,CEAT LTD,Consumer Durables,Automotive Aftermarket,NSE
BAJAJELEC,BAJAJ ELECTRICALS,Consumer Durables,Electronics/Appliances,NSE
BAJAJ_AUTO,BAJAJ AUTO LTD,Consumer Durables,Motor Vehicles,NSE
MARUTI,MARUTI SUZUKI IND,Consumer Durables,Motor Vehicles,NSE
WHIRLPOOL,WHIRLPOOL OF INDIA,Consumer Durables,Electronics/Appliances,NSE
BANARBEADS,BANARAS BEADS LTD,Consumer Durables,Other Consumer Specialties,NSE
SAINTGOBAIN,SAINT-GOBAIN SEKURIT INDIA LTD,Consumer Durables,Home Furnishings,BSE
VAIBHAVGBL,VAIBHAV GLOBAL LTD,Consumer Durables,Other Consumer Specialties,NSE
KOKUYOCMLN,KOKUYO CAMLIN LTD,Consumer Durables,Tools & Hardware,NSE
RAJESHEXPO,RAJESH EXPORTS,Consumer Durables,Other Consumer Specialties,NSE
TITAN,TITAN COMPANY LTD,Consumer Durables,Other Consumer Specialties,NSE
FORCEMOT,FORCE MOTORS LTD,Consumer Durables,Motor Vehicles,NSE
AVROIND,AVRO INDIA LTD,Consumer Durables,Home Furnishings,NSE
SILGO,SILGO RETAIL LTD,Consumer Durables,Other Consumer Specialties,NSE
UNIVPHOTO,UNIVERSUS IMAGINGS LTD,Consumer Durables,Electronics/Appliances,NSE
BALKRISIND,BALKRISHNA INDS,Consumer Durables,Automotive Aftermarket,NSE
ATULAUTO,ATUL AUTO LTD,Consumer Durables,Motor Vehicles,NSE
IFBIND,IFB INDUSTRIES LTD,Consumer Durables,Electronics/Appliances,NSE
TTKPRESTIG,TTK PRESTIGE,Consumer Durables,Home Furnishings,NSE
OLECTRA,OLECTRA GREENTECH,Consumer Durables,Motor Vehicles,NSE
PRAENG,PRAJAY ENGINEERS S,Consumer Durables,Homebuilding,NSE
SMLISUZU,SML ISUZU LTD,Consumer Durables,Motor Vehicles,NSE
ATALREAL,ATAL REALTECH LTD,Consumer Durables,Homebuilding,NSE
VIAZ,VIAZ TYRES LTD,Consumer Durables,Automotive Aftermarket,NSE
STOVEKRAFT,STOVE KRAFT LTD,Consumer Durables,Electronics/Appliances,NSE
ANANTRAJ,ANANT RAJ LTD,Consumer Durables,Homebuilding,NSE
ASAHIINDIA,ASAHI INDIA GLASS,Consumer Durables,Home Furnishings,NSE
SKYGOLD,SKY GOLD LTD,Consumer Durables,Other Consumer Specialties,NSE
NCC,NCC LTD,Consumer Durables,Homebuilding,NSE
ORIENTELEC,ORIENT ELECTRIC LTD,Consumer Durables,Electronics/Appliances,NSE
LYPSAGEMS,LYPSA GEMS & JEWEL,Consumer Durables,Other Consumer Specialties,NSE
RVHL,RAVINDER HEIGHTS LTD,Consumer Durables,Homebuilding,NSE
SAFARI,SAFARI IND (INDIA) LTD,Consumer Durables,Other Consumer Specialties,NSE
BCONCEPTS,BRAND CONCEPTS LTD,Consumer Durables,Home Furnishings,NSE
JKTYRE,JK TYRE&INDUSTRIES,Consumer Durables,Automotive Aftermarket,NSE
HEROMOTOCO,HERO MOTOCORP LTD,Consumer Durables,Motor Vehicles,NSE
KHAITANLTD,KHAITAN (INDIA)LTD,Consumer Durables,Electronics/Appliances,NSE
SONAMCLOCK,SONAM CLOCK LTD,Consumer Durables,Other Consumer Specialties,NSE
APOLLOTYRE,APOLLO TYRES,Consumer Durables,Automotive Aftermarket,NSE
JCHAC,JOHNSON CONTROLS-H,Consumer Durables,Electronics/Appliances,NSE
MODIRUBBER,MODI RUBBER,Consumer Durables,Automotive Aftermarket,NSE
NILKAMAL,NILKAMAL LTD,Consumer Durables,Home Furnishings,NSE
RGL,RENAISSANCE GLOBAL,Consumer Durables,Other Consumer Specialties,NSE
BUTTERFLY,BUTTERFLY GANDHIMA,Consumer Durables,Electronics/Appliances,NSE
MRF,MRF LTD,Consumer Durables,Automotive Aftermarket,NSE
SHUBHLAXMI,SHUBHLAXMI JEWEL A,Consumer Durables,Other Consumer Specialties,NSE
GOENKA,GOENKA DIAMOND & J,Consumer Durables,Other Consumer Specialties,NSE
PCJEWELLER,PC JEWELLER LTD,Consumer Durables,Other Consumer Specialties,NSE
CARYSIL,CARYSIL LTD,Consumer Durables,Home Furnishings,NSE
KANANIIND,KANANI INDUSTRIES,Consumer Durables,Other Consumer Specialties,NSE
SANDHAR,SANDHAR TECHNOLOGI,Consumer Durables,Motor Vehicles,NSE
INNOVATIVE.ST,INNOVATIVE TYRES &,Consumer Durables,Automotive Aftermarket,NSE
EICHERMOT,EICHER MOTORS,Consumer Durables,Motor Vehicles,NSE
TVSMOTOR,TVS MOTOR CO,Consumer Durables,Motor Vehicles,NSE
ARTNIRMAN,ART NIRMAN LTD,Consumer Durables,Homebuilding,NSE
TBZ,TRIBHOVANDAS BHIMJ,Consumer Durables,Other Consumer Specialties,NSE
KESORAMIND,KESORAM INDUSTRIES,Consumer Durables,Automotive Aftermarket,NSE
RADHIKAJWE,RADHIKA JEWELTECH LTD,Consumer Durables,Other Consumer Specialties,NSE
WIMPLAST,WIM PLAST LTD.,Consumer Durables,Home Furnishings,BSE
DOLFIN,DOLFIN RUBBERS LIMITED,Consumer Durables,Automotive Aftermarket,BSE
COROENGG,COROMANDEL ENGINEERING COMPANY,Consumer Durables,Homebuilding,BSE
APIL,AVI PRODUCTS INDIA LIMITED,Consumer Durables,Electronics/Appliances,BSE
LAHL,LADAM AFFORTABLE HOUSING LIMIT,Consumer Durables,Homebuilding,BSE
CRANEINFRA,CRANE INFRASTRUCTURE LIMITED,Consumer Durables,Homebuilding,BSE
BELLACASA,BELLA CASA FASHION & RETAIL LI,Consumer Durables,Home Furnishings,BSE
NYSSACORP,NYSSA CORPORATION LIMITED,Consumer Durables,Homebuilding,BSE
JAIMATAG,JAI MATA GLASS LTD.,Consumer Durables,Home Furnishings,BSE
SATCH,SATCHMO HOLDINGS LIMITED,Consumer Durables,Homebuilding,BSE
KPT,KPT INDUSTRIES LIMITED,Consumer Durables,Tools & Hardware,BSE
MPL,MPL PLASTICS LTD.,Consumer Durables,Home Furnishings,BSE
STARLENT,STARLINEPS ENTERPRISES LIMITED,Consumer Durables,Recreational Products,BSE
MAHESH,MAHESH DEVELOPERS LIMITED,Consumer Durables,Homebuilding,BSE
GUJTLRM,GUJARAT TOOLROOM LTD.,Consumer Durables,Homebuilding,BSE
OROSMITHS,OROSIL SMITHS INDIA LTD.,Consumer Durables,Other Consumer Specialties,BSE
PRIMAPLA,PRIMA PLASTICS LTD.,Consumer Durables,Home Furnishings,BSE
REMLIFE,REMEDIUM LIFECARE LIMITED,Consumer Durables,Motor Vehicles,BSE
SACHEMT,SACHETA METALS LTD.,Consumer Durables,Home Furnishings,BSE
SMGOLD,S. M. GOLD LIMITED,Consumer Durables,Other Consumer Specialties,BSE
GOLKUNDIA,GOLKUNDA DIAMONDS & JEWELLERY,Consumer Durables,Other Consumer Specialties,BSE
BENGALASM,BENGAL & ASSAM COMPANY LTD.,Consumer Durables,Automotive Aftermarket,BSE
INFLAME,INFLAME APPLIANCES LIMITED,Consumer Durables,Electronics/Appliances,BSE
SOURCEIND,SOURCE INDUSTRIES (INDIA) LTD.,Consumer Durables,Home Furnishings,BSE
EY,EYANTRA VENTURES LIMITED,Consumer Durables,Other Consumer Specialties,BSE
AAIL,AKAR AUTO INDUSTRIES LIMITED,Consumer Durables,Tools & Hardware,BSE
ADHBHUTIN,ADHBHUT INFRASTRUCTURE LTD.,Consumer Durables,Homebuilding,BSE
EIGHTY,EIGHTY JEWELLERS LIMITED,Consumer Durables,Other Consumer Specialties,BSE
GGL,GAUTAM GEMS LIMITED,Consumer Durables,Other Consumer Specialties,BSE
GORANIN,GORANI INDUSTRIES LTD.,Consumer Durables,Electronics/Appliances,BSE
KUWERIN,KUWER INDUSTRIES LTD.,Consumer Durables,Electronics/Appliances,BSE
TIMEX,TIMEX GROUP INDIA LTD.,Consumer Durables,Other Consumer Specialties,BSE
SWARNSAR,SWARNSARITA JEWELS INDIA LIMIT,Consumer Durables,Other Consumer Specialties,BSE
SINGER,SINGER INDIA LTD.,Consumer Durables,Electronics/Appliances,BSE
ALPINEHOU,ALPINE HOUSING DEVELOPMENT COR,Consumer Durables,Homebuilding,BSE
UDAYJEW,UDAY JEWELLERY INDUSTRIES LIMI,Consumer Durables,Other Consumer Specialties,BSE
BGJL,BHAKTI GEMS AND JEWELLERY LIMI,Consumer Durables,Other Consumer Specialties,BSE
TIRUFOAM,TIRUPATI FOAM LIMITED,Consumer Durables,Home Furnishings,BSE
KMFBLDR,KMF BUILDERS & DEVELOPERS LTD.,Consumer Durables,Homebuilding,BSE
MANJEERA,MANJEERA CONSTRUCTIONS LTD.,Consumer Durables,Homebuilding,BSE
SEASONST,SEASONS TEXTILES LTD.,Consumer Durables,Home Furnishings,BSE
EUREKAFORBE,EUREKA FORBES LIMITED,Consumer Durables,Electronics/Appliances,BSE
PALMJEWELS,PALM JEWELS LIMITED,Consumer Durables,Other Consumer Specialties,BSE
JAINEX,JAINEX AAMCOL LTD.,Consumer Durables,Tools & Hardware,BSE
KRYPTONQ,KRYPTON INDUSTRIES LTD.,Consumer Durables,Automotive Aftermarket,BSE
DUNCANENG,DUNCAN ENGINEERING LIMITED,Consumer Durables,Automotive Aftermarket,BSE
MILEFUR,MILESTONE FURNITURE LIMITED,Consumer Durables,Home Furnishings,BSE
AGOL,ASHAPURI GOLD ORNAMENT LIMITED,Consumer Durables,Other Consumer Specialties,BSE
TRITONV,TRITON VALVES LTD.,Consumer Durables,Automotive Aftermarket,BSE
SHARP,SHARP INDIA LTD.,Consumer Durables,Electronics/Appliances,BSE
KENVI,KENVI JEWELS LIMITED,Consumer Durables,Other Consumer Specialties,BSE
GOBLIN,GOBLIN INDIA LIMITED,Consumer Durables,Other Consumer Specialties,BSE
SISL,SHANTIDOOT INFRA SERVICES LIMI,Consumer Durables,Homebuilding,BSE
NARBADA,NARBADA GEMS AND JEWELLERY LTD,Consumer Durables,Other Consumer Specialties,BSE
COSCO,COSCO (INDIA) LTD.,Consumer Durables,Recreational Products,BSE
TEXELIN,TEXEL INDUSTRIES LTD.,Consumer Durables,Home Furnishings,BSE
VSL,VEERAM SECURITIES LIMITED,Consumer Durables,Other Consumer Specialties,BSE
SOVERDIA,SOVEREIGN DIAMONDS LTD.,Consumer Durables,Other Consumer Specialties,BSE
PRERINFRA,PRERNA INFRABUILD LTD.,Consumer Durables,Homebuilding,BSE
SHRISTI,SHRISTI INFRASTRUCTURE DEVELOP,Consumer Durables,Homebuilding,BSE
JAIPAN,JAIPAN INDUSTRIES LTD.,Consumer Durables,Electronics/Appliances,BSE
MINID,MINI DIAMONDS (INDIA) LTD.,Consumer Durables,Other Consumer Specialties,BSE
OKPLA,OK PLAY INDIA LTD.,Consumer Durables,Recreational Products,BSE
VARIMAN,VARIMAN GLOBAL ENTERPRISES LIM,Consumer Durables,Homebuilding,BSE
PHOTOQUP,PHOTOQUIP INDIA LTD.,Consumer Durables,Electronics/Appliances,BSE
QUANTBUILD,QUANTUM BUILD-TECH LTD,Consumer Durables,Homebuilding,BSE
SCOOTER,SCOOTERS INDIA LTD.,Consumer Durables,Motor Vehicles,BSE
SPITZE,MARUTI INTERIOR PRODUCTS LIMIT,Consumer Durables,Home Furnishings,BSE
LOVABLE,LOVABLE LINGERIE L,Consumer Non-Durables,Apparel/Footwear,NSE
ADFFOODS,ADF FOODS LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
DABUR,DABUR INDIA LTD,Consumer Non-Durables,Household/Personal Care,NSE
HNDFDS,HINDUSTAN FOODS LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
UBL,UNITED BREWERIES L,Consumer Non-Durables,Beverages: Alcoholic,NSE
ADVENZYMES,ADVANCED ENZYME TE,Consumer Non-Durables,Food: Specialty/Candy,NSE
NESTLEIND,NESTLE INDIA,Consumer Non-Durables,Food: Major Diversified,NSE
KKCL,KEWEL KIRAN CLOTHI,Consumer Non-Durables,Apparel/Footwear,NSE
GOCOLORS,GO FASHION INDIA LTD,Consumer Non-Durables,Apparel/Footwear,NSE
ABCOTS,AB COTSPIN INDIA L,Consumer Non-Durables,Apparel/Footwear,NSE
MONTECARLO,MONTE CARLO FASHIO,Consumer Non-Durables,Apparel/Footwear,NSE
LIBAS,LIBAS DESIGNS LTD,Consumer Non-Durables,Apparel/Footwear,NSE
FOODSIN,FOODS & INNS LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
GAEL,GUJARAT AMBUJA EXP,Consumer Non-Durables,Food: Specialty/Candy,NSE
BBTC,BOMBAY BURMAH,Consumer Non-Durables,Food: Major Diversified,NSE
